  201:63  error    Hardcoded color '#fafafa' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  202:31  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  202:43  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  205:18  error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  205:29  error    Hardcoded color '#764ba2' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  206:22  error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  209:18  error    Hardcoded color '#1a1a1a' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  209:29  error    Hardcoded color '#1a1a1a' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  213:18  error    Hardcoded color '#ff6b6b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  213:29  error    Hardcoded color '#4ecdc4' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  213:40  error    Hardcoded color '#45b7b8' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  213:51  error    Hardcoded color '#96ceb4' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  213:62  error    Hardcoded color '#ffeaa7' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  214:22  error    Hardcoded color '#ff6b6b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  257:37  error    Hardcoded color '#262626' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  257:49  error    Hardcoded color '#ffffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  258:24  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  269:28  error    Hardcoded color '#1a1a1a' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  283:24  error    Hardcoded color '#667eea' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  294:37  error    Hardcoded color '#262626' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  294:49  error    Hardcoded color '#ffffff' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  295:24  error    Hardcoded color '#000000' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  364:12  error    Hardcoded color '#ff6b6b' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  364:23  error    Hardcoded color '#4ecdc4' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  364:34  error    Hardcoded color '#45b7b8' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  364:45  error    Hardcoded color '#96ceb4' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
  364:56  error    Hardcoded color '#ffeaa7' is banned. Use theme.colors.* (background.primary, text.primary, status.success, etc.)  local/no-hardcoded-colors
